corpus,entity,demne,reference,match,distance
cantemist,Histologie_tumorale,RULES,RULES,exact,0
cantemist,Traitement_specifique_du_cancer,TBM,RULES,discordant,1
cantemist,Signes_physiques,TBM,TBM,exact,0
cantemist,Evolutivite_en_lien_avec_le_cancer,LLM,LLM,exact,0
cantemist,Reponse_a_la_chimiotherapie,RULES,RULES,exact,0
cantemist,Stade_metastatique_avec_loc,TBM,TBM,exact,0
cantemist,Statut_tabagique,LLM,RULES,discordant,2
cantemist,ATCD_geriatriques_et_medicaux,LLM,LLM,exact,0
cantemist,Stade_OMS_ECOG_Karnofsky,RULES,RULES,exact,0
cantemist,Biomarqueurs_therapeutiques,LLM,LLM,exact,0
cantemist,Topographie_du_primitif,TBM,TBM,exact,0
cantemist,Symptomes,TBM,TBM,exact,0
redjdal,Biopsy,RULES,RULES,exact,0
redjdal,Ultra_sound,RULES,RULES,exact,0
redjdal,MRI,RULES,RULES,exact,0
redjdal,Mammography,RULES,RULES,exact,0
redjdal,Clinical_examination,RULES,RULES,exact,0
redjdal,Surgery,RULES,RULES,exact,0
redjdal,Tumor_size,RULES,RULES,exact,0
redjdal,Tumor_grade_insitu,RULES,RULES,exact,0
redjdal,Tumor_site,RULES,RULES,exact,0
redjdal,Histology,RULES,RULES,exact,0
redjdal,Tumour,RULES,RULES,exact,0
redjdal,BraSize_Cup,RULES,TBM,discordant,-1
redjdal,Cavity_Shave_Margin,RULES,RULES,exact,0
redjdal,Clear_Surgical_Margins,RULES,TBM,discordant,-1
redjdal,Side,RULES,RULES,exact,0
redjdal,BIRADS_classification,RULES,RULES,exact,0
redjdal,Clinical_Positive_Nodes,RULES,TBM,discordant,-1
redjdal,Menopausal_status,RULES,RULES,exact,0
redjdal,Comorbidities,RULES,TBM,discordant,-1
redjdal,Estrogen_receptor,RULES,RULES,exact,0
redjdal,Progesterone_receptor,RULES,RULES,exact,0
redjdal,HER2_status,RULES,RULES,exact,0
redjdal,Ki67,RULES,RULES,exact,0
redjdal,Pet_scan,RULES,RULES,exact,0
redjdal,Anti_HER2_therapy,RULES,LLM,discordant,-2
redjdal,Chemotherapy,RULES,RULES,exact,0
redjdal,Tumor_grade_inv,RULES,RULES,exact,0
redjdal,Widespread_Microcalc,RULES,RULES,exact,0
redjdal,TNM,RULES,RULES,exact,0
redjdal,ResponseAssess_Neoadj,RULES,TBM,discordant,-1
redjdal,Cytoponction,RULES,RULES,exact,0
redjdal,Drugs,TBM,TBM,exact,0
redjdal,NodeSize,TBM,TBM,exact,0
redjdal,Hematoma,RULES,RULES,exact,0
redjdal,Confirmed_Positive_Nodes,TBM,TBM,exact,0
redjdal,Radiotherapy,RULES,RULES,exact,0
redjdal,Genetic_mutation,TBM,TBM,exact,0
redjdal,FISH,RULES,RULES,exact,0
redjdal,Screening,RULES,RULES,exact,0
redjdal,Endocrine_Therapy,RULES,TBM,discordant,-1
redjdal,Associated_InSitu_Carc,RULES,RULES,exact,0
redjdal,PresenceEmbole,RULES,RULES,exact,0
redjdal,OncotypeDX,RULES,LLM,discordant,-2
redjdal,N_status,RULES,RULES,exact,0
redjdal,Breast_Cancer_Relapse,LLM,LLM,exact,0
redjdal,Systemic_treatment,LLM,LLM,exact,0
rcp,ER,RULES,RULES,exact,0
rcp,PR,RULES,RULES,exact,0
rcp,HER2_stat,RULES,RULES,exact,0
rcp,HER2_IHC,RULES,RULES,exact,0
rcp,Ki67,RULES,RULES,exact,0
rcp,HER2_FISH,TBM,LLM,discordant,-1
rcp,Gen_mut,LLM,LLM,exact,0
